price,availability_365,calculated_host_listings_count,minimum_nights
80,285,1,7
110,183,1,1
172,189,2,4
199,162,2,1
199,158,2,1
100,84,1,1
55,260,1,4
75,0,3,3
146,166,1,3
250,0,1,2
116,335,1,29
150,90,2,3
120,342,6,2
199,28,1,4
150,363,1,5
69,86,2,1
300,83,2,55
230,0,1,4
125,0,1,4
79,264,3,3
130,305,2,3
239,356,11,1
75,278,1,6
220,135,2,3
80,308,4,3
288,229,1,2
135,273,1,4
225,83,1,3
110,281,1,30
100,321,1,7
130,303,1,2
89,192,3,1
200,0,1,5
80,36,1,2
50,271,2,5
135,341,2,28
90,333,1,1
270,210,1,5
110,231,1,3
145,308,1,1
179,292,1,30
55,311,1,1
110,264,1,2
325,153,1,5
75,219,3,30
300,0,1,1
130,332,2,30
190,120,1,30
200,191,1,3
180,248,3,2
350,67,1,5
160,0,1,4
195,325,4,30
241,249,1,30
300,0,1,7
75,313,1,28
100,0,1,5
399,12,1,1
85,69,1,5
80,0,1,21
55,293,1,1
438,363,11,1
110,4,1,6
200,257,1,2
279,362,11,1
137,0,1,1
280,365,1,3
199,102,1,30
71,26,1,4
42,302,2,2
180,280,1,2
226,302,1,5
85,281,1,3
135,0,1,1
79,297,2,4
154,246,1,1
199,60,28,3
700,296,4,3
246,0,1,4
125,364,1,60
100,281,4,1
295,0,1,5
150,0,1,3
119,0,1,1
125,365,2,1
400,365,2,5
850,249,1,3
129,303,1,2
140,300,1,1
115,323,2,4
200,0,2,3
96,204,1,120
199,60,28,3
199,84,28,3
199,60,28,3
69,303,1,1
185,261,1,2
81,0,1,2
199,60,28,3
199,60,28,3
199,60,28,3
199,56,28,3
199,84,28,3
349,58,28,3
249,60,28,3
299,60,28,3
179,81,28,3
54,365,3,5
599,60,28,3
110,0,1,1
220,297,1,2
89,91,1,30
170,315,1,2
495,338,2,7
80,40,2,10
760,361,1,2
98,288,1,4
125,218,1,30
48,1,2,90
64,117,2,3
154,0,1,3
139,204,1,3
75,0,1,4
325,20,1,4
195,0,1,365
58,0,1,1
250,333,4,2
50,189,4,7
125,353,4,2
70,0,2,7
189,206,2,2
130,1,1,3
145,0,1,7
101,307,1,7
95,0,1,5
375,0,1,7
153,27,1,31
92,27,1,4
80,348,1,5
300,246,4,4
145,15,1,3
88,0,2,2
155,5,1,1
185,0,1,180
73,0,2,2
225,107,1,2
85,144,2,7
99,98,1,2
48,0,2,90
200,0,1,5
485,0,1,7
310,89,1,5
110,354,1,4
109,286,5,30
167,252,5,30
147,189,1,15
220,0,1,4
195,271,1,4
199,0,1,28
65,0,1,30
55,0,1,1
50,337,1,2
60,347,1,2
99,127,2,3
130,41,1,2
290,0,1,30
350,18,1,3
50,158,1,3
96,270,1,2
45,88,3,15
85,306,2,2
34,216,3,10
250,16,1,3
190,365,2,1
75,365,2,2
93,312,1,4
60,33,2,5
65,0,2,5
125,365,1,365
300,27,1,3
150,300,1,2
56,216,1,122
299,365,1,3
60,303,1,4
88,0,1,5
60,161,2,2
1300,297,4,5
200,0,1,6
99,50,1,2
110,28,2,3
135,317,1,5
110,275,1,15
165,80,1,3
127,365,1,180
402,340,1,3
85,97,2,6
75,365,3,7
139,314,1,30
70,0,1,6
50,339,1,3
30,0,1,5
250,35,1,30
64,0,1,1
300,365,1,3
800,257,1,4
100,5,2,3
250,0,1,5
200,0,1,27
140,0,1,5
130,304,1,1
90,286,1,30
90,0,1,3
97,118,1,3
91,265,1,6
125,303,1,3
75,0,1,7
180,125,2,7
300,354,2,7
100,6,2,19
175,0,1,3
65,80,2,4
240,134,1,5
300,0,1,6
385,364,1,1
47,0,1,15
110,297,1,3
75,0,1,2
100,43,3,3
165,10,1,2
300,0,1,2
140,189,1,3
120,17,2,6
175,289,1,3
275,305,1,31
179,0,1,8
189,0,1,2
219,220,1,2
450,0,1,20
249,0,1,5
65,362,1,2
250,121,1,4
139,153,1,30
209,205,1,7
120,310,1,5
70,0,1,5
90,236,1,3
199,200,1,3
50,74,2,60
100,0,1,5
110,0,1,1
157,12,2,4
199,84,28,3
192,0,1,3
199,84,28,3
150,0,1,1
199,56,28,3
199,62,28,3
199,81,28,3
105,0,1,3
135,310,6,28
199,60,28,3
125,0,1,3
60,0,2,7
85,0,1,1
300,29,1,3
75,264,2,2
55,341,2,1
44,0,1,5
55,0,3,5
30,0,3,3
35,0,1,3
70,363,1,1
130,25,1,14
52,0,4,2
75,358,1,3
190,0,2,3
250,109,1,5
100,289,2,1
130,188,1,4
140,260,1,2
75,168,1,2
150,0,1,7
90,311,1,3
295,146,1,1
150,2,1,2
180,242,2,3
135,0,1,3
65,46,1,5
99,365,1,3
149,364,1,14
59,352,1,1
75,301,3,3
75,322,3,3
75,298,1,3
109,285,5,30
225,342,1,4
86,250,1,3
52,326,1,2
100,90,1,2
99,289,9,30
89,193,1,3
135,293,2,2
199,155,1,14
89,189,1,3
110,248,1,3
120,238,1,2
59,284,2,3
49,343,2,4
79,268,1,14
135,249,1,30
185,291,1,2
225,0,1,4
245,0,1,5
115,31,1,3
325,0,1,2
95,79,2,2
120,0,1,2
499,157,1,30
75,277,2,2
109,353,1,1
160,0,1,3
219,280,2,4
159,7,1,2
180,266,6,3
150,0,1,5
106,271,1,3
299,101,1,10
179,205,1,3
165,343,1,3
500,0,1,4
250,190,1,15
87,310,2,7
79,52,2,4
75,312,3,2
200,0,1,30
80,329,1,1
115,333,4,3
115,327,4,3
120,349,4,3
125,217,1,3
387,0,1,1
95,80,2,6
99,0,1,2
121,351,2,1
350,362,1,4
75,144,2,2
95,43,2,5
89,365,1,1
195,129,1,1
160,0,1,21
70,0,1,18
100,0,1,3
140,0,1,1
189,355,2,3
160,0,1,5
178,280,1,30
145,38,1,14
125,31,1,5
265,324,1,4
77,365,3,5
60,0,9,3
129,171,1,3
199,36,1,6
92,332,1,7
185,0,1,3
110,192,1,7
65,139,1,4
135,167,2,3
115,0,1,30
175,10,4,2
3000,365,1,7
72,110,1,3
80,0,1,2
125,0,1,5
120,242,1,5
94,22,3,2
56,0,1,3
549,200,1,30
190,0,1,2
129,87,2,3
85,202,2,5
20,226,1,3
145,0,1,3
200,327,1,7
125,262,2,4
50,0,1,30
160,359,3,3
180,348,3,3
100,0,1,1
70,0,1,5
120,318,1,2
110,363,1,2
105,70,1,7
250,0,1,3
74,90,1,240
165,15,4,2
99,335,1,3
125,0,4,30
75,0,2,1
45,364,2,1
159,34,1,2
45,242,4,15
104,147,1,2
225,169,1,4
100,188,1,5
90,89,2,2
75,189,2,1
350,0,1,7
135,253,1,5
125,311,1,1
225,0,1,3
85,363,1,3
200,224,1,7
250,5,1,3
90,301,1,10
130,0,1,30
90,50,1,30
298,296,2,30
300,84,1,4
125,365,1,1
125,212,3,3
145,181,2,3
147,0,1,2
123,158,3,3
88,217,1,3
215,335,1,2
225,231,1,3
269,122,1,28
145,270,1,3
75,330,8,3
145,0,1,5
229,321,1,2
300,312,2,29
100,345,3,3
75,2,1,2
225,252,2,2
120,15,2,6
160,169,3,5
125,212,2,30
95,0,1,5
119,296,1,3
275,167,1,2
160,365,1,1
500,365,4,1
175,0,1,14
87,258,2,6
160,257,2,1
125,364,1,3
90,236,1,2
200,0,1,7
250,54,2,15
99,189,1,30
325,364,1,30
99,265,1,1
325,207,1,2
129,0,1,7
130,196,1,28
190,0,1,4
55,57,2,2
60,0,1,2
250,0,1,1
275,277,2,3
50,0,1,180
125,10,1,4
150,247,1,20
70,273,1,4
138,189,1,3
265,0,1,4
145,365,1,5
151,249,1,88
208,310,1,6
200,291,1,3
110,74,1,2
58,289,2,1
55,0,1,2
105,219,1,115
350,0,1,5
150,73,1,3
55,97,1,150
299,149,1,20
77,85,1,3
125,0,1,9
395,50,1,14
189,303,2,7
49,333,1,1
90,239,1,4
100,6,1,1
299,0,3,2
75,180,3,5
69,318,3,7
90,328,3,1
94,18,1,1
80,353,1,2
100,63,1,5
39,34,3,5
250,284,1,3
55,333,2,7
110,0,1,2
200,0,1,1
142,222,1,3
70,333,3,2
260,0,1,2
225,195,1,4
59,0,3,21
65,0,1,1
99,249,1,20
239,78,1,2
50,21,1,2
65,0,3,4
139,0,1,4
174,167,2,2
315,0,1,3
75,47,1,3
210,0,1,1
55,195,2,4
229,319,1,3
150,0,1,2
129,177,1,2
100,0,1,8
200,67,1,3
89,0,1,5
250,311,1,90
65,0,3,7
68,0,3,2
235,144,2,3
100,220,1,3
311,28,1,3
39,353,1,1
100,19,1,2
1300,0,1,1
210,319,1,1
55,170,4,4
65,0,1,2
165,157,1,30
89,80,1,28
500,0,1,10
145,0,1,14
110,330,1,4
180,0,1,5
115,0,1,2
82,311,1,15
70,340,2,1
155,0,1,5
117,0,1,7
100,0,1,2
89,0,6,30
89,4,6,30
99,8,6,30
155,0,1,6
85,238,2,1
80,96,1,4
135,236,1,3
150,0,1,6
380,0,1,3
450,30,1,2
145,342,1,30
80,330,1,3
225,225,2,2
99,0,1,3
125,212,1,1
80,365,7,30
100,12,2,2
55,297,4,2
328,112,1,2
142,261,1,7
350,0,1,4
300,23,1,2
105,30,1,30
125,331,2,31
225,0,2,7
92,0,1,2
185,0,1,2
226,38,1,3
50,20,1,2
80,0,2,3
200,342,1,5
99,317,1,14
68,0,1,3
102,361,1,2
220,68,1,3
199,0,1,3
165,316,1,5
150,231,1,2
385,363,2,1
75,0,1,7
499,26,1,2
85,305,2,1
160,34,2,4
249,26,1,3
80,189,1,2
120,292,1,1
35,90,1,7
169,323,1,4
220,341,1,4
85,344,2,3
300,0,1,7
79,302,1,30
90,30,1,4
99,246,1,1
50,0,2,1
46,362,5,1
325,203,1,3
68,88,1,2
198,0,1,3
100,0,1,5
175,64,1,2
130,77,1,4
180,0,1,3
209,160,1,3
150,141,1,4
104,6,1,3
175,0,1,4
80,0,1,1
68,23,1,2
72,13,2,5
107,262,8,30
150,24,1,7
45,329,2,3
49,301,4,2
349,344,1,1
185,259,1,2
145,0,1,3
96,0,1,3
120,0,1,5
160,0,1,1
800,67,1,3
349,260,1,2
350,272,1,2
125,341,1,30
350,56,1,2
150,185,2,10
180,352,1,30
200,260,1,1
99,242,1,30
130,0,1,5
150,0,1,3
90,269,1,10
95,0,1,1
70,0,1,30
82,251,2,3
250,292,3,30
90,150,1,4
75,317,2,2
160,0,1,14
115,178,1,7
150,0,1,4
89,23,1,4
69,4,1,5
170,254,2,2
375,43,1,5
118,13,1,3
135,170,1,6
250,339,1,3
200,365,1,7
150,0,1,5
50,60,1,2
60,0,1,2
100,0,1,2
265,341,1,3
90,128,1,30
175,0,1,2
36,44,2,10
250,0,2,4
220,338,1,3
93,176,1,14
275,357,1,5
109,0,1,30
450,0,1,2
165,259,1,30
80,20,1,7
295,350,3,5
280,41,1,7
300,106,1,30
99,0,6,30
175,0,2,3
225,205,1,4
230,0,1,6
90,38,1,7
102,21,1,3
59,0,1,10
195,68,1,2
150,365,2,3
170,17,2,1
217,0,1,2
185,91,2,1
58,0,1,6
189,1,2,4
88,0,6,30
195,59,2,3
110,276,1,5
120,0,1,14
79,30,1,4
110,0,1,10
200,365,1,3
69,43,3,4
55,332,3,1
135,0,1,4
500,79,1,2
90,157,1,3
135,211,1,3
199,365,1,1
90,0,1,2
160,0,1,4
65,311,1,20
210,347,1,3
399,0,1,3
300,111,1,1
185,348,3,1
220,174,2,3
121,0,1,2
120,129,1,10
152,365,1,2
250,25,1,2
99,0,1,6
104,0,1,11
120,0,1,5
295,261,1,3
90,0,1,4
197,0,1,14
145,0,1,5
90,0,1,30
125,172,1,2
190,69,1,1
76,324,3,2
50,0,1,2
107,85,1,1
80,245,1,4
150,0,1,5
110,330,1,90
115,365,1,370
151,256,3,2
130,0,1,2
180,264,1,2
95,359,3,1
79,335,2,1
60,245,8,30
133,338,1,4
120,337,5,30
120,102,1,2
700,22,1,28
165,0,1,3
165,0,1,4
54,80,1,45
100,0,1,5
80,365,1,7
96,165,1,19
159,0,1,2
50,54,1,2
75,77,1,2
155,249,1,30
150,72,1,2
92,8,1,1
75,0,1,5
69,207,1,40
115,15,1,4
120,0,1,60
120,179,1,2
215,332,1,30
195,255,1,2
175,215,2,3
80,311,4,2
48,0,1,5
200,217,1,7
275,363,1,30
72,335,2,1
199,281,1,60
250,250,2,30
75,343,1,5
125,365,1,1
229,36,1,1
175,0,1,10
140,0,1,3
54,220,1,2
75,0,1,2
110,0,1,7
165,185,1,1
55,79,2,4
55,179,2,4
300,0,1,1
275,69,1,6
331,189,1,7
77,0,1,3
60,365,1,30
129,261,1,1
100,188,1,3
120,0,1,4
500,307,1,2
179,11,1,4
149,4,1,2
180,312,1,14
100,257,3,2
180,0,1,3
128,20,1,5
260,0,1,14
55,365,2,3
65,22,1,3
200,0,1,2
249,38,1,3
300,365,3,30
120,16,1,7
120,144,1,20
125,0,1,5
99,301,2,3
115,3,1,3
275,364,1,31
198,299,1,2
199,142,1,3
45,365,2,3
125,58,1,3
80,193,2,2
130,116,52,30
35,326,4,28
90,0,1,30
250,188,2,3
115,0,1,3
200,0,1,4
64,230,2,30
65,341,2,3
175,0,1,14
90,358,1,2
85,0,1,2
150,352,1,30
50,91,1,30
136,6,2,2
400,83,1,3
125,29,1,4
165,32,1,7
180,0,1,3
105,0,1,14
148,0,1,4
120,189,1,3
99,0,1,8
175,0,1,1
85,0,1,2
80,319,1,1
119,338,1,2
89,50,2,1
195,0,1,2
1000,364,11,30
225,172,1,4
165,0,1,2
60,86,2,2
165,87,1,5
80,67,1,14
52,0,1,3
160,0,1,4
110,15,1,5
60,0,1,2
299,245,1,3
200,128,1,6
700,365,1,5
120,271,1,3
65,32,2,2
263,33,2,30
120,149,1,20
150,0,3,5
60,156,1,2
350,365,1,2
71,352,2,2
433,318,2,5
79,329,1,3
140,0,1,2
61,335,2,4
100,0,1,3
250,347,1,4
145,44,1,3
45,0,1,4
73,310,2,6
150,68,1,3
234,302,1,20
150,0,1,1
65,182,1,4
195,270,1,1
135,365,1,365
90,0,1,7
595,169,1,5
109,276,1,1
200,365,1,3
90,358,52,30
100,342,52,30
85,223,52,30
87,363,52,30
95,365,52,30
349,341,1,3
99,0,1,3
160,105,1,2
149,203,1,4
60,0,1,3
285,0,1,7
72,312,1,1
150,339,1,16
200,0,1,3
79,247,2,1
197,269,2,1
75,218,2,3
127,264,1,3
110,365,1,1
69,0,1,1
100,365,1,60
99,31,1,3
139,19,1,2
113,2,1,1
250,0,1,2
295,122,1,4
2000,364,11,30
220,0,1,2
75,0,1,5
100,223,1,31
199,65,1,4
200,5,1,3
140,365,1,4
50,0,1,7
45,223,3,5
109,110,2,31
108,24,2,3
42,236,3,5
70,0,1,3
141,346,1,2
355,301,1,5
80,249,2,3
250,0,3,2
75,332,1,14
88,348,1,2
65,318,1,5
58,365,2,2
75,0,1,3
100,144,1,2
167,341,1,5
65,0,2,2
125,267,2,21
95,126,3,2
54,232,1,2
89,319,2,2
92,12,2,3
199,0,1,6
179,284,1,14
65,188,3,20
55,13,2,3
129,256,6,30
134,313,6,30
35,2,1,3
250,148,1,1
249,362,1,4
62,234,2,1
119,0,1,1
179,0,1,2
220,96,2,1
198,233,1,1
155,309,3,3
199,0,1,7
95,15,1,3
550,258,1,4
60,210,2,2
380,170,2,4
84,225,1,2
165,128,1,30
105,295,1,30
134,0,1,2
68,281,1,5
73,3,1,30
150,27,1,5
100,0,1,3
75,23,2,2
120,0,1,4
85,1,2,4
55,3,1,2
95,51,1,10
72,297,3,14
250,78,2,80
69,0,1,2
78,188,2,4
220,341,2,1
230,101,1,2
150,246,1,4
80,364,2,2
150,365,2,3
150,266,1,3
900,365,2,1
130,0,1,7
70,365,3,5
120,281,3,3
75,354,2,30
100,5,2,15
69,284,3,3
399,42,1,7
299,348,1,3
100,90,1,3
68,89,2,28
103,0,1,3
175,263,1,5
330,19,1,3
425,0,1,5
240,344,1,5
75,362,2,30
210,309,1,2
175,323,2,1
85,46,1,2
120,253,3,3
120,289,3,3
75,0,2,5
495,22,1,3
65,38,2,14
39,306,4,2
93,0,1,4
146,88,4,2
120,15,1,3
79,365,1,3
100,0,1,5
120,0,2,1
150,36,2,5
144,198,1,4
60,0,1,7
350,0,1,1
85,189,2,5
195,26,1,3
200,0,1,2
169,249,1,5
95,63,2,10
375,346,1,2
168,253,2,2
50,220,1,4
129,36,3,2
245,164,1,6
199,47,28,3
199,36,28,3
99,89,2,6
160,0,1,1
65,0,2,2
70,0,1,7
80,365,1,1
100,365,52,30
70,364,1,1
200,0,1,2
66,329,1,3
200,260,1,3
95,93,2,2
140,0,1,1
65,287,1,1
106,0,1,7
155,188,1,181
249,28,1,2
120,0,1,7
52,1,3,5
75,98,3,26
195,364,1,2
625,335,4,4
171,346,8,30
185,346,8,30
55,46,1,7
50,2,1,2
120,365,52,30
210,0,1,14
133,50,1,2
73,251,1,30
350,0,1,1
259,17,1,2
97,87,1,7
199,142,1,7
125,358,1,2
100,45,1,1
39,34,3,5
125,267,1,28
150,0,1,1
170,203,1,7
199,212,1,3
80,362,1,3
125,300,1,3
155,90,1,5
120,267,1,4
220,115,1,3
90,0,1,1
61,320,1,2
179,277,1,4
108,0,1,5
575,0,1,3
99,73,4,1
175,0,1,3
110,0,1,1
250,0,1,10
100,0,1,1
200,259,1,4
89,0,1,3
400,175,1,3
149,0,2,21
500,33,1,10
95,316,1,5
125,275,1,3
80,15,1,4
105,234,2,5
39,360,18,30
49,238,4,2
187,0,1,14
55,0,1,3
250,0,1,3
125,0,1,4
100,159,1,2
175,0,1,7
50,347,1,4
133,5,1,6
155,235,1,5
140,260,1,5
80,364,1,2
103,69,3,2
600,353,2,3
70,188,3,3
75,0,1,3
55,264,3,3
50,25,1,4
390,89,1,3
82,238,2,8
52,88,2,3
115,258,1,2
299,322,2,2
175,116,1,13
100,250,1,90
95,0,1,1
55,119,1,80
45,167,5,2
165,19,1,1
105,0,1,7
200,0,1,3
65,249,1,30
100,0,1,7
312,246,1,2
195,0,1,1
100,301,1,29
155,0,1,3
250,88,1,28
165,146,1,3
120,365,1,3
38,241,4,1
200,365,1,1
90,0,1,10
85,196,1,2
55,282,2,2
350,0,1,2
59,12,1,4
280,48,2,4
69,132,2,1
230,325,1,5
200,52,1,2
150,311,1,5
75,365,1,1
120,0,3,3
140,182,1,30
200,337,1,2
225,189,2,3
145,36,1,7
60,1,2,3
119,0,1,5
189,63,1,2
190,0,5,2
69,235,1,7
70,303,2,1
155,0,1,2
149,329,3,2
160,295,1,1
100,214,6,20
220,350,1,25
85,339,2,2
135,0,1,5
45,359,5,1
225,265,1,1
100,0,1,7
145,45,1,3
210,305,1,1
195,95,1,4
